,STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,business name,id,yelp_rating,price_tag,review_count,yelp_address
0,100,Mall,In Line,34.1452,-118.2594,3214 Glendale Galleria,Glendale,CA,91210,Panda Express - Temporarily Closed,T-Lw6wV5AgMOc_CFy_FuXA,2.0,$$,41.0,3214 Glendale Galleria
1,1000,Street DT,Free Standing,33.9559,-84.1318,2060 Pleasant Hill Road,Duluth,GA,30096,Panda Express,PRD-eFRxJEytWRMaBry9vw,3.5,$,58.0,2060 Pleasant Hill Rd
2,1001,Street DT,Free Standing,37.8719,-122.5092,100 Donahue St,Sausalito,CA,94965,Panda Express,2Wz_ISB5a7sdggtKwt65nw,3.0,$,67.0,100 Donahue St
3,1002,Street Non-DT,End Cap,33.3785,-112.0287,2434 E. Baseline Rd Suite #101,Phoenix,AZ,85042,Panda Express,#NAME?,,,,
4,1003,Street Non-DT,In Line,37.9006,-122.2999,5020 El Cerrito Plaza #e-2,El Cerrito,CA,94530,Panda Express,j3RUrxPMJJYTre7o7uRGEQ,3.0,$,97.0,5020 El Cerrito Plz
5,1004,Street Non-DT,End Cap,35.2074,-106.654,3703 Ellison Drive Nw,Albuquerque,NM,87114,Panda Express,Dkv0dwBvN4YMiYlub2xJjA,2.0,$,13.0,3703 Ellison Dr NW
6,1005,Street DT,Free Standing,32.8443,-97.133,2252 Central Drive,Bedford,TX,76021,Panda Express,lcG6S4HCoZ3oTUnzk0nLCw,3.0,$$,45.0,2252 Central Dr
7,1006,Casino,Food Court,33.9216,-116.7978,49500 Seminole Dr,Cabazon,CA,92230,Panda Express - Temporarily Closed,F0qX2uxC6_mNkK4RaeVX6w,2.5,$,25.0,49500 Seminole Dr
8,1008,Street DT,Free Standing,34.086999999999996,-84.4826,12162 Highway 92,Woodstock,GA,30188,Panda Express,RhvtFtsCX2Dp3iIJ7L__Eg,2.5,$,34.0,12162 Hwy 92
9,1009,Street DT,Free Standing,33.023,-96.8855,4105 N. Josey Lane,Carrollton,TX,75007,Panda Express,PZgvSxemfHb-yP382xlSSA,2.5,$,24.0,4105 N Josey Ln
10,1011,Street DT,Free Standing,40.7047,-112.0253,3051 S. Colt Plaza Dr,West Valley City,UT,84128,Panda Express,4r4s_gHGYdmA5saN130Uyg,2.0,$,35.0,3051 S Colt Plaza Dr
11,1012,Street Non-DT,End Cap,33.5519,-117.1384,39112 Winchester Rd,Murrieta,CA,92563,Panda Express,qI9K4NEnvIpyvfoLAYvlFw,2.5,$,84.0,39112 Winchester Rd
12,1013,Street Non-DT,End Cap,35.309,-119.0926,5041 Gosford Rd.,Bakersfield,CA,93313,Panda Express,8FY1V0fX8uW6jpq_rtlapg,2.5,$,58.0,5041 Gosford Rd
13,1014,Street Non-DT,End Cap,34.2573,-118.5041,17056 Devonshire St,Northridge,CA,91325,Panda Express,2r1ln_cH63zKie_FJA-0Dw,2.0,$,59.0,17056 Devonshire St
14,1015,Street Non-DT,End Cap,41.7686,-88.2063,848 North Route 59,Aurora,IL,60504,Panda Express,kU2coM4bAnIVTyJ1bhzOAw,2.5,$,20.0,848 N Route 59
15,1016,Street Non-DT,End Cap,47.1622,-122.5184,10417 Gravelly Lake Drive Sw,Lakewood,WA,98499,Panda Express,Yo-DTM1Au4529WE83OOv6w,2.0,$,83.0,10417 Gravelly Lake Dr SW
16,1017,Street DT,Free Standing,33.1015,-96.6748,501 W. Mcdermott Drive,Allen,TX,75013,Panda Express,mr9Gf65uK8q4JPqZY69sNw,2.5,$,36.0,501 W Mcdermott Dr
17,1018,Street DT,Free Standing,34.0718,-117.9609,14480 Merced Ave,Baldwin Park,CA,91706,Panda Express,qtUNJyv_xeBH4uVvW8d01Q,2.5,$,133.0,14480 Merced Ave
18,102,Mall,Food Court,33.8717,-118.3546,1815 Hawthrone Bl. #312,Redondo Beach,CA,90278,Panda Express - Temporarily Closed,66sAnE0_qnp2MiAEHkp0_w,2.5,$,21.0,1815 Hawthrone Blvd
19,1020,Street DT,Free Standing,47.4604,-122.3335,15842 1st Avenue South,Burien,WA,98148,Panda Express,syXKdlmsLClYUkh4Vom-Eg,3.0,$,55.0,15842 1st Ave S
20,1021,Street Non-DT,In Line,38.4618,-122.7169,2240 Mendocino Ave. Suite106,Santa Rosa,CA,95403,Panda Express,nzTUIXk4xZXI8n05rrHmAg,3.0,$,45.0,2240 Mendocino Ave
21,1022,Street DT,Free Standing,37.7401,-122.1986,8333 Oakport Street,Oakland,CA,94621,Panda Express,WFaBHysCV41p6gqM1264zw,2.5,$,155.0,8333 Oakport St
22,1023,Street DT,Free Standing,37.7964,-121.1917,1467 Hulsey Way,Manteca,CA,95336,Panda Express,QDi9r2FkalU-Na-j8-7brg,2.0,$,108.0,1467 Hulsey Way
23,1024,Store in Store,Food Court,47.6808,-122.1266,8867 161st Ave Ne,Redmond,WA,98052,Panda Express,k6A2GJY7-xJlH-v_FWAvnw,3.0,$,58.0,8867 161st Ave NE
24,1025,Street Non-DT,End Cap,32.9645,-96.6444,5345 North Garland Ave,Garland,TX,75040,Panda Express,rFHTo6gqQmNNo1ALAqLOKA,3.0,$,19.0,5345 N Garland Rd
25,1026,Street Non-DT,End Cap,33.4233,-111.7887,1950 E. University Drive,Mesa,AZ,85206,Panda Express,huMKC8Yns_l9kuyjjhx-dA,2.5,$,39.0,1950 E University Dr
26,1027,Street DT,Free Standing,37.6554,-113.0855,1872 West Cross Hollow Rd.,Cedar City,UT,84720,Panda Express,VeYOuYUevlEyxufGppGEFQ,2.5,$,31.0,1872 W Cross Hollow Rd
27,1029,Street Non-DT,End Cap,32.996,-117.2597,689 Lomas Santa Fe Dr,Solana Beach,CA,92075,Panda Express,Dadjxp4g0vNUxCO3m1ApSg,3.0,$,37.0,689 Lomas Santa Fe Dr
28,103,Mall,Food Court,33.0705,-117.0649,200 E. Via Rancho Pkwy,Escondido,CA,92025,Panda Express - Temporarily Closed,X0sKt6OTTPGa9VJN1aaZvg,2.5,$,8.0,200 E Via Rancho Pkwy
29,1030,Street DT,Free Standing,33.0131,-97.068,2521 Flower Mound Road,Flower Mound,TX,75028,Panda Express,xjx_YoHiGbWe6GXWQKQapg,2.0,$,46.0,2521 Flower Mound Rd
30,1031,Street Non-DT,End Cap,34.1738,-119.1611,1671 E. Channel Islands Blvd,Oxnard,CA,93033,Panda Express,c0YFaNJPs4jylc_OODGLsA,2.0,$,45.0,1671 E Channel Islands Blvd
31,1032,Street Non-DT,Free Standing,33.8376,-118.3542,3825 Torrance Blvd.,Torrance,CA,90503,Panda Express,GxN3LeNbU1wwCEP0f_zLeg,3.0,$,154.0,3825 Torrance Blvd
32,1033,Street Non-DT,End Cap,32.3058,-111.0097,1990 W. River Road,Tucson,AZ,85704,Panda Express,LsPmM95HXEyvEYTgMI4Jew,2.0,$,30.0,1990 W River Rd
33,1034,Street Non-DT,End Cap,33.7101,-112.1125,2501 W. Happy Valley Road,Phoenix,AZ,85085,Panda Express,wrRxFrnUucvR4dlG6Q9fKA,2.5,$,66.0,2501 W Happy Valley Rd
34,1036,Street Non-DT,End Cap,45.3675,-122.839,21155 Sw Baler Way,Sherwood,OR,97140,Panda Express,JeJ8-O_F65e_F5R_g7lPKA,2.5,$$,34.0,21155 SW Baler Way
35,1037,Travel Plaza,Food Court,41.7837,-87.9074,5800 Tri-State Tollway,Hinsdale,IL,60523,Panda Express,dVH0VyR9Mu0vNRc1U3CaYA,2.5,$,10.0,5800 Tri-state Tollway
36,1038,Travel Plaza,Food Court,42.2531,-87.9008,13783 W. Oasis Service Rd.,Lake Forest,IL,60045,Panda Express - Temporarily Closed,dD9VkDmzjy9B6HsDlcy_2Q,2.5,$,7.0,13783 W Oasis Service Rd
37,1039,Travel Plaza,Food Court,41.9007,-88.73899999999999,2700 Crego Rd.,Dekalb,IL,60115,Panda Express - Temporarily Closed,8ZpokqKj0MjesK1c1a9Frg,2.0,,4.0,2700 Crego Rd
38,1040,Street DT,Free Standing,35.1291,-106.5351,9500 Montgomery Blvd. Ne,Albuquerque,NM,87111,Panda Express,v2pVAWSEq2kGN46p0f8Cvg,2.0,$,21.0,9500 Montgomery Blvd NE
39,1041,Street DT,Free Standing,29.3572,-98.5291,2221 Sw Military,San Antonio,TX,78224,Panda Express,pqZbGNrvsV0fhPojW05rbg,3.0,$,27.0,2221 SW Military
40,1042,Street DT,Free Standing,34.6078,-118.1471,39922 10th St West,Palmdale,CA,93551,Panda Express,hqlBNn1GfsMLuIEtXNkwPQ,2.5,$,51.0,39922 10th St W
41,1043,Travel Plaza,Food Court,41.5789,-87.5994,700 E Tri-State Tollway,South Holland,IL,60473,Panda Express,jdq-6Qmi1WP6HKsJdKBsQA,2.5,$$,7.0,700 E Tri-state Tollway
42,1044,Street DT,Free Standing,38.6555,-121.5273,2940 Del Paso Road,Sacramento,CA,95834,Panda Express,9qOYQEaXhnk6NCr4g7p6pA,2.5,$,120.0,2940 Del Paso Rd
43,1045,Street Non-DT,End Cap,34.2347,-118.46700000000001,9008 Sepulveda Blvd.,North Hills,CA,91343,Panda Express,mf59DEa885PvJzpS2VSCQA,2.5,$,67.0,9008 Sepulveda Blvd
44,1046,Street Non-DT,End Cap,38.4088,-121.3523,9304 Elk Grove Blvd,Elk Grove,CA,95624,Panda Express,t7YiobDqwtrgA2N_efIi-A,2.0,$,57.0,9304 Elk Grove Blvd
45,1047,Street Non-DT,End Cap,33.2818,-111.7891,3765 S. Gilbert Road,Gilbert,AZ,85296,Panda Express,Q_ZqXNa5I753FOkA28R82Q,2.0,$,36.0,3765 S Gilbert Rd
46,1048,Street DT,Free Standing,38.6569,-121.3837,4985 Watt Ave,North Highlands,CA,95660,Panda Express,N3gwcmJwU50nR-GIFkc8iw,2.0,$,81.0,4985 Watt Ave
47,1049,Street DT,Free Standing,29.546,-98.5766,11220 Huebner Road,San Antonio,TX,78230,Panda Express,CrVyosk_TbR6w99ea2gLPA,2.5,$,69.0,11220 Huebner Rd
48,1050,Street DT,Free Standing,38.243,-122.0174,402 Lawler Center Drive,Suisun City,CA,94585,Panda Express,RJVebWZztb12pk-aBub_NA,2.0,$,104.0,402 Lawler Center Dr
49,1051,Street DT,Free Standing,45.3342,-122.7672,8755 Sw Robert Burns Drive,Wilsonville,OR,97070,Panda Express,BXS0JjJNz2wAWE1gBl1_Lg,2.0,$,60.0,8755 SW Robert Burns Dr
50,1052,Street DT,Free Standing,40.3876,-111.8238,959 West State Street,American Fork,UT,84003,Panda Express,C6N6wXho3jCQ5hI2ixd7Ww,2.5,$,34.0,959 W State St
51,1053,Street Non-DT,End Cap,34.4443,-118.574,28162 Newhall Ranch Road,Santa Clarita,CA,91355,Panda Express,Qkut_W2ggw52xWgwP-ulxQ,3.0,$,70.0,28162 Newhall Ranch Rd
52,1054,Street DT,Free Standing,41.7824,-87.8688,185 Countryside Plaza,Countryside,IL,60525,Panda Express,uyylDj6gtjG0q8MJZWXm0Q,2.0,$,37.0,185 Countryside Plz
53,1055,Street DT,Free Standing,33.6808,-96.6094,4030 N Hwy 75,Sherman,TX,75090,Panda Express,aFqJ5FOnBp7yoTmsgarOWA,2.5,$,24.0,4030 N Hwy 75
54,1056,Mall,Food Court,34.0006,-118.1598,150 Citadel Dr. Fc-b,City Of Commerce,CA,90040,Panda Express - Temporarily Closed,p3BV7zJ2CDXfXuop9EM4HA,2.0,$,49.0,150 Citadel Dr Fc-b
55,1058,Street DT,Free Standing,41.6199,-87.8485,31 Orland Square Dr,Orland Park,IL,60462,Panda Express,ec-Prxd5Gz7M7QNA_kHnMQ,2.5,$,12.0,31 Orland Square Dr
56,1059,Street DT,Free Standing,35.3933,-118.96600000000001,2659 Mt. Vernon Ave.,Bakersfield,CA,93306,Panda Express,BGrhABcedRNH__87yVpf9w,2.0,$,82.0,2659 Mt Vernon Ave
57,106,Mall,Food Court,21.2913,-157.8443,1450 Ala Moana Blvd,Honolulu,HI,96814,Panda Express - Temporarily Closed,VUK1CkCZId3UyanGG_Ec4Q,3.0,$$,78.0,1450 Ala Moana Blvd
