Column 1,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,name 2,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name,state_name 2,Walk Score,Bike Score
34,60504,3.5,$$,75,41.77415,-88.206255,Red Lobster,2,209,38013,34.1,81068,35018,2460,1299,AURORA,IL,Midwest,46,64
35,98499,2,$,83,47.1622,-122.5184,Panda Express,1,16,31234,33.6,41178,24821,7005,1177,LAKEWOOD,WA,West,78,56
36,98499,2.5,$,35,47.1619399,-122.5183647,Chipotle,0,2534,31234,33.6,41178,24821,7005,1177,LAKEWOOD,WA,West,78,56
37,75013,2.5,$,36,33.1015,-96.6748,Panda Express,1,17,40675,37.7,129627,53457,1438,759,ALLEN,TX,South,56,52
38,75013,3,$,98,33.1029064,-96.6791317,Chipotle,0,2177,40675,37.7,129627,53457,1438,759,ALLEN,TX,South,49,47
39,91706,2.5,$,133,34.0718,-117.9609,Panda Express,1,18,77342,34.2,62161,18853,10739,2180,BALDWIN PARK,CA,West,59,43
40,91706,2.5,$,58,34.0693081,-117.9721609,Chipotle,0,170,77342,34.2,62161,18853,10739,2180,BALDWIN PARK,CA,West,60,50
41,90278,2.5,$,21,33.8717,-118.3546,Panda Express,1,19,40649,39.3,118000,55624,1637,1071,REDONDO BEACH,CA,West,85,64
42,98148,3,$,55,47.4604,-122.3335,Panda Express,1,20,11761,36.4,56044,29217,1778,357,SEATTLE,WA,West,88,54
43,95403,3,$,45,38.4618,-122.7169,Panda Express,1,21,45355,37.8,73985,35630,4677,1183,SANTA ROSA,CA,West,92,69
44,94621,2.5,$,155,37.7401,-122.1986,Panda Express,1,22,35287,29.4,38591,15973,10057,1276,OAKLAND,CA,West,35,68
45,94621,2.5,$,113,37.7379408,-122.1974657,Chipotle,0,365,35287,29.4,38591,15973,10057,1276,OAKLAND,CA,West,42,69
46,95336,2,$,108,37.7964,-121.1917,Panda Express,1,23,47612,36.4,62362,26212,6637,2128,MANTECA,CA,West,81,51
47,95336,2.5,$,171,37.7963104,-121.1930173,Chipotle,0,329,47612,36.4,62362,26212,6637,2128,MANTECA,CA,West,74,52
48,98052,3,$,58,47.6808,-122.1266,Panda Express,1,24,67779,34.7,125287,61149,3682,1485,REDMOND,WA,West,86,90
49,98052,2.5,$,44,47.6297,-122.141,Panda Express,1,1303,67779,34.7,125287,61149,3682,1485,REDMOND,WA,West,82,61
50,98052,3,$$,177,47.6672535,-122.1023643,Chipotle,0,2520,67779,34.7,125287,61149,3682,1485,REDMOND,WA,West,57,84
51,75040,3,$,19,32.9645,-96.6444,Panda Express,1,25,63153,34.1,61517,22455,7135,1841,GARLAND,TX,South,43,41
52,75040,2.5,$,91,32.9555281,-96.6168549,Chipotle,0,2302,63153,34.1,61517,22455,7135,1841,GARLAND,TX,South,48,38
53,85206,2.5,$,39,33.4233,-111.7887,Panda Express,1,26,36901,44.6,50741,29399,4805,964,MESA,AZ,West,49,73
54,85206,2.5,$,7,33.3906,-111.6897,Panda Express,1,317,36901,44.6,50741,29399,4805,964,MESA,AZ,West,44,61
55,85206,2.5,$$,25,33.3898773,-111.6839359,Chipotle,0,50,36901,44.6,50741,29399,4805,964,MESA,AZ,West,57,69
56,85206,3,$$,102,33.39347,-111.698459,Red Lobster,2,14,36901,44.6,50741,29399,4805,964,MESA,AZ,West,38,77
