Address,ZIP,lat,lng
"2740 41st Ave BLDG C, Soquel, CA 95073",95073,36.9869211,-121.9645948
"14220 Centreville Square SPACE ""C"", Centreville, VA 20122",20122,38.8380723,-77.4381952
"29145 Canwood St A-5, Agoura Hills, CA 91301",91301,34.1464462,-118.7588939
"2960 South Academy Blvd. SUITE 110, Colorado Springs, CO 80916",80916,38.7896147,-104.7587055
"970 North Congress Avenue SUITE #100, Boynton Beach, FL 33426",33426,26.536505,-80.090067
"Coffman Memorial Union 300 Washington Ave. SE, Minneapolis, MN 55455",55455,44.9727,-93.2354
"1000 South State Road 7 SUITE 5, Wellington, FL 33414",33414,26.6638122,-80.2021838
"7351 Assateague DriveSuite #10, Jessup, MD 20794",20794,39.1695021,-76.7859394
"33010 Fm 2978 RoadSPC - Lot 9, Magnolia, TX 77354",77354,30.2201041,-95.5676144
"865 Market StreetC-24, San Francisco, CA 94103",94103,37.784118,-122.4064352
"415 West Felicita Ave.SUITE #413, Escondido, CA 92025",92025,33.1035861,-117.0745016
"8251 Brucesville RoadSUITE #100, Sacramento, CA 95823",95823,38.4586231,-121.4168853
"8039 Beach Blvd.SHOOTER's PARADISE, Buena Park, CA 90620",90620,33.8427827,-117.9983669
"4467 Mission Blvd.SUITE D & E, Montclair, CA 91763",91763,34.0554567,-117.7074631
"1121 South Decatur Blvd.SUITE 100, Las Vegas, NV 89102",89102,36.1584067,-115.2053419
"94-1221 Ka Uka Blvd.SUITE B-101 & B-102, Waipahu, HI 96797",96797,21.4264184,-158.0013947
"6802 S. La Cienega Blvd.SPACE A, Inglewood, CA 90302",90302,33.9769775,-118.3698175
"287 Los Altos ParkwaySUITE #113 (H-6), Sparks, NV 89436",89436,39.5834734,-119.7392754
"9119 East Montgomery AveSUITE A, Spokane, WA 99206",99206,47.6790548,-117.2819965
"10213 Ne Cascades ParkwayBLDG M SUITE 100, Portland, OR 97220",97220,45.5726574,-122.5571828
"5410 Silver Hill RoadUNIT #1, District Heights, MD 20747",20747,38.8528532,-76.9131775
"960 Park Ave NorthSuite #104-A, Renton, WA 98055",98055,47.4974279,-122.2018339
"15909 Bellflower Blvd.SUITE A, Bellflower, CA 90706",90706,33.8886214,-118.1258258
"1402 Se Everett Mall WaySpace #670, Everett, WA 98208",98208,47.9096929,-122.2131937
"120 Fox Valley CenterSPACE #BQ-11, Aurora, IL 60504",60504,41.7558356,-88.2112856
"8366 Westheimer RoadSPACE A, Houston, TX 77063",77063,29.7381025,-95.5131857
"331 South State Road 135SUITE A, Greenwood, IN 46142",46142,39.6102057,-86.1577014
"4750 South 48th StreetSUITE 121, Phoenix, AZ 85040",85040,33.4041326,-111.9788941
"7670 Katy Freeway100, Houston, TX 77024",77024,29.7859546,-95.4675014
"501 E. Albertoni StreetSUITE #A, Carson, CA 90746",90746,33.8721335,-118.2671076
"2600 South Center MallFC-10, Tukwila, WA 98188",98188,47.4586998,-122.2612142
"9758 Katy FwySUITE 100, Houston, TX 77055",77055,29.7857017,-95.5335033
"9685 Liberia Ave.SUITE 110, Manassas, VA 20110",20110,38.7470615,-77.4489122
"312 Keawe StreetBuilding A, Lahaina, HI 96761",96761,20.8848916,-156.6798135
"900 University Ave.COMMONS, ROOM 160, Riverside, CA 92521",92521,33.978881,-117.3281427
"5861 Long Prarie RoadSPACE 100, Flower Mound, TX 75028",75028,33.0654955,-97.081094
"1640 Milwaukee AveUNIT 500, Vernon Hills, IL 60061",60061,42.2558776,-87.9483898
"23572 El Toro RoadSUITE A, Lake Forest, CA 92630",92630,33.620015,-117.7005691
"14022 Revell DriveParcel 2-A, Jacksonville, FL 32218",32218,30.4812953,-81.6369804
"2604 Old Denton RoadSUITE #100, Carrollton, TX 75007",75007,32.9843549,-96.9091677
"1500 N.e. Terrell MallLEVEL 1 ROOM 100, Pullman, WA 99163",99163,46.7310598,-117.1622764
"6651 South Semoran Blvd.SPACE #101, Orlando, FL 32822",32822,28.4671188,-81.3085615
"6560 Hembree LanePAD 6 BUILDING, Windsor, CA 95492",95492,38.5274514,-122.7888542
"9918 Knockando LaneSUITE #100, Huntersville, NC 28078",28078,35.4421395,-80.8585184
"688 Sutton WayBuilding #5, Grass Valley, CA 95945",95945,39.2338763,-121.0365947
"11090 Magnolia AveSuite A, Riverside, CA 92505",92505,33.9033744,-117.475739
"5829 Jarvis Ave.SUITE E, Newark, CA 94560",94560,37.5523435,-122.0481326
"2131 Monterey Hwy, Suite #60Bldg #30, San Jose, CA 95125",95125,37.3053667,-121.8635389
"1717 Walnut Grove AveSuite 100, Rosemead, CA 91770",91770,34.0495002,-118.082349
