,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
47,"1460 E Shaw Ave, Fresno, CA 93710",93710,36.808919,-119.761948,3.5,$$,186.0,red-lobster-fresno
48,"12892 Harbor Blvd, Garden Grove, CA 92840",92840,33.77555,-117.91750800000001,3.0,$$,582.0,red-lobster-garden-grove
49,"3400 W Century Blvd, Inglewood, CA 90303",90303,33.945231,-118.331305,2.5,$$,527.0,red-lobster-inglewood
50,"8703 Murray Dr, La Mesa, CA 91942",91942,32.775721000000004,-117.010834,2.5,$$,414.0,red-lobster-la-mesa
51,"4333 Candlewood St, Lakewood, CA 90712",90712,33.854124,-118.141097,3.0,$$,533.0,red-lobster-lakewood
52,"503 E Calaveras Blvd, Milpitas, CA 95035",95035,37.433246000000004,-121.896325,3.0,$$,517.0,red-lobster-milpitas
53,"3000 Sisk Rd, Modesto, CA 95350",95350,37.682462,-121.049231,3.0,$$,304.0,red-lobster-modesto
54,"928 W Huntington Dr, Monrovia, CA 91016",91016,34.139736,-118.01893100000001,3.5,$$,569.0,red-lobster-monrovia
55,"9345 Monte Vista Ave, Montclair, CA 91763",91763,34.084115999999995,-117.697225,3.0,$$,296.0,red-lobster-montclair
56,"El Camino Real, 2471 Vista Way, Oceanside, CA 92054",92054,33.181665,-117.334428,3.5,$$,340.0,red-lobster-oceanside
57,"4413 E, Mills Cir, Ontario, CA 91764",91764,34.076976,-117.55668700000001,3.0,$$,362.0,red-lobster-ontario
58,"1740 Ventura Blvd, Oxnard, CA 93036",93036,34.224548999999996,-119.154705,3.0,$$,226.0,red-lobster-oxnard
59,"72291 CA-111, Palm Desert, CA 92260",92260,33.728929,-116.40376,3.0,$$,252.0,red-lobster-palm-desert
60,"1041 W Avenue P, Palmdale, CA 93551",93551,34.605123999999996,-118.148905,3.0,$$,218.0,red-lobster-palmdale
61,"4095 Century Blvd, Pittsburg, CA 94565",94565,38.007622,-121.843883,3.5,$$,262.0,red-lobster-pittsburg
62,"1345 Dana Dr, Redding, CA 96003",96003,40.585285,-122.346915,3.5,$$,88.0,red-lobster-redding
63,"3700 Park Sierra Dr, Riverside, CA 92505",92505,33.903726,-117.47153700000001,3.0,$$,363.0,red-lobster-riverside
64,"6440 Redwood Dr, Rohnert Park, CA 94928",94928,38.347423,-122.714901,3.0,$$,179.0,red-lobster-rohnert-park
65,"1400 Howe Ave, Sacramento, CA 95825",95825,38.591155,-121.41486200000001,3.0,$$,472.0,red-lobster-sacramento
66,"1720 N Main St, Salinas, CA 93906",93906,36.716227,-121.654473,3.5,$$,135.0,red-lobster-salinas
67,"195 E Hospitality Ln, San Bernardino, CA 92408",92408,34.065644,-117.28380600000001,3.0,$$,284.0,red-lobster-san-bernardino
68,"1210 El Camino Real, San Bruno, CA 94066",94066,37.638774,-122.42178100000001,3.0,$$,614.0,red-lobster-san-bruno
69,"8330 Mira Mesa Blvd, San Diego, CA 92126",92126,32.913129999999995,-117.144782,3.5,$$,352.0,red-lobster-san-diego
70,"3780 Sports Arena Blvd, San Diego, CA 92110",92110,32.754811,-117.21668000000001,3.0,$$,332.0,red-lobster-san-diego-2
71,"2040 Aborn Rd, San Jose, CA 95121",95121,37.310955,-121.80773500000001,3.0,$$,323.0,red-lobster-san-jose
72,"5343 Almaden Expy, San Jose, CA 95118",95118,37.252342999999996,-121.87621999999999,2.5,$$,501.0,red-lobster-san-jose-2
73,"1525 S Bradley Rd, Santa Maria, CA 93454",93454,34.93319,-120.41854599999999,3.5,$$,139.0,red-lobster-santa-maria
74,"2283 W March Ln, Stockton, CA 95207",95207,37.98622,-121.334376,3.0,$$,250.0,red-lobster-stockton
75,"41649 Margarita Rd, Temecula, CA 92591",92591,33.520215,-117.1526,3.0,$$,348.0,red-lobster-temecula
76,"21233 Hawthorne Blvd, Torrance, CA 90503",90503,33.836236,-118.35645900000002,3.0,$$,441.0,red-lobster-torrance
77,"27524 The Old Rd, Valencia, CA 91355",91355,34.421369,-118.58326799999999,3.0,$$,361.0,red-lobster-valencia
78,"1180 Admiral Callaghan Ln, Vallejo, CA 94591",94591,38.13521,-122.21503700000001,3.0,$$,356.0,red-lobster-vallejo
79,"12180 Amargosa Rd, Victorville, CA 92392",92392,34.472065,-117.34616899999999,3.5,$$,195.0,red-lobster-victorville
80,"1545 S Mooney Blvd, Visalia, CA 93277",93277,36.316696,-119.314574,3.0,$$,116.0,red-lobster-visalia
81,"6139 S Southlands Pkwy, Aurora, CO 80016",80016,39.604723,-104.71149100000001,2.5,$$,96.0,red-lobster-aurora
82,"10854 E Alameda Ave, Aurora, CO 80012",80012,39.710633,-104.86201000000001,3.0,$$,84.0,red-lobster-aurora-3
83,"9067 East, Westview Rd, Lone Tree, CO 80124",80124,39.565523,-104.88386200000001,3.0,$$,95.0,red-lobster-lone-tree-3
84,"8268 E, Northfield Blvd, Denver, CO 80238",80238,39.779486999999996,-104.89305300000001,2.5,$$,82.0,red-lobster-denver
85,"4925 N Academy Blvd, Colorado Springs, CO 80918",80918,38.902828,-104.769699,3.0,$$,65.0,red-lobster-colorado-springs
86,"3510 New Center Point, Colorado Springs, CO 80922",80922,38.88231,-104.71906899999999,3.5,$$,105.0,red-lobster-colorado-springs-2
87,"3301 S College Ave, Fort Collins, CO 80525",80525,40.542023,-105.07778400000001,3.0,$$,45.0,red-lobster-fort-collins
88,"575 24 1/2 Rd, Grand Junction, CO 81505",81505,39.088358,-108.59945900000001,3.0,$$,38.0,red-lobster-grand-junction
89,"2885 23rd Ave, Greeley, CO 80631",80631,40.391144,-104.71646,2.5,$$,41.0,red-lobster-greeley
90,"810 S Wadsworth Blvd, Lakewood, CO 80226",80226,39.703416,-105.081023,3.5,$$,79.0,red-lobster-lakewood-3
91,"5656 S Wadsworth Blvd, Littleton, CO 80123",80123,39.613577,-105.090369,2.5,$$,63.0,red-lobster-littleton-2
92,"2177 Ken Pratt Blvd, Longmont, CO 80501",80501,40.142410999999996,-105.12910500000001,3.0,$$,38.0,red-lobster-longmont
93,"1350 W 104th Ave, Northglenn, CO 80234",80234,39.884607,-105.003099,3.0,$$,111.0,red-lobster-northglenn
94,"3306 N Elizabeth St, Pueblo, CO 81008",81008,38.304332,-104.614067,2.5,$$,38.0,red-lobster-pueblo
95,"4455 Wadsworth Blvd, Wheat Ridge, CO 80033",80033,39.777651,-105.081942,2.5,$$,67.0,red-lobster-wheat-ridge
96,"4485 Main St, Bridgeport, CT 06606",6606,41.220451000000004,-73.217502,3.0,$$,66.0,red-lobster-bridgeport
97,"34 Backus Ave, Danbury, CT 06810",6810,41.375003,-73.486089,3.0,$$,61.0,red-lobster-danbury
98,"320 Universal Dr N, North Haven, CT 06473",6473,41.353958,-72.872727,3.0,$$,72.0,red-lobster-north-haven
99,"1324 Silas Deane Hwy, Wethersfield, CT 06109",6109,41.684579,-72.65421500000001,3.0,$$,113.0,red-lobster-wethersfield
100,"271 N Dupont Hwy, Dover, DE 19901",19901,39.170983,-75.51843199999999,2.5,$$,53.0,red-lobster-dover
101,"1249 New Churchman's Rd, Newark, DE 19713",19713,39.690131,-75.66123,2.5,$$,51.0,red-lobster-newark
102,"309 Rocky Run Pkwy, Talleyville, DE 19803",19803,39.819585,-75.549315,3.0,$$,42.0,red-lobster-talleyville
103,"2314 N Salisbury Blvd, Salisbury, MD 21801",21801,38.398579999999995,-75.569937,3.5,$$,33.0,red-lobster-salisbury
104,"340 W State Rd 436, Altamonte Springs, FL 32714",32714,28.661328,-81.395474,3.0,$$,79.0,red-lobster-altamonte-springs
